Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,x,y
NKE,Nike,Consumer Discretionary,62.38,1.06,30.3,2.06,7.85,47.25,68.19,106.24,5.06,3.28,7.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE,-25.72006297571977,-21.130969158760863
NI,NiSource Inc.,Utilities,22.03,2.83,24.42,0.9,12.04,16.04,22.14,7.04,1.28,1.49,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NI,-38.02636082020407,-10.144425092889854
NBL,Noble Energy Inc,Energy,30.26,1.27,,-6.07,24.07,23.77,53.68,13.04,1.64,4.22,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NBL,8.789197487001834,-25.41910287270509
JWN,Nordstrom,Consumer Discretionary,52.43,2.88,16.64,3.15,5.02,44.49,83.16,9.1,1.72,0.62,10.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JWN,-17.45712447154624,-21.689869296587467
NSC,Norfolk Southern Corp.,Industrials,73.67,3.11,14.46,5.09,40.93,64.51,111.76,21.97,3.94,2.1,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NSC,2.6575528080025106,-19.278042104236103
NTRS,Northern Trust Corp.,Financials,59.52,2.36,14.92,3.99,36.27,54.38,79.25,13.65,0.0,2.84,1.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTRS,28.987319276078306,16.922488672654172
NOC,Northrop Grumman Corp.,Industrials,192.93,1.66,18.57,10.39,30.46,152.31,193.99,34.91,3.54,1.46,6.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOC,-22.41933533727889,-3.8245263513688457
NRG,NRG Energy,Utilities,10.9,5.49,,-0.04,28.85,8.8,26.93,3.42,3.18,0.21,0.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG,-1.1070177333950466,-28.94629972444073
NUE,Nucor Corp.,Materials,39.75,3.77,35.81,1.11,23.13,33.9,50.7,12.74,1.82,0.76,1.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NUE,16.215913289404632,-11.531157624102127
NVDA,Nvidia Corporation,Information Technology,31.89,1.46,29.53,1.08,8.29,19.09,33.94,17.19,1.08,3.42,3.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA,-1.6485641044071908,20.296968678855475
ORLY,O'Reilly Automotive,Consumer Discretionary,267.27,,29.15,9.17,20.07,202.44,277.96,26.12,1.72,3.24,13.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORLY,-24.964987590388013,4.099900800348305
OXY,Occidental Petroleum,Energy,69.65,4.19,,-10.23,31.91,58.24,82.06,53.16,5.03,4.25,2.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OXY,15.047383727652145,-22.180934360629934
OMC,Omnicom Group,Consumer Discretionary,77.71,2.59,17.62,4.41,10.23,64.12,80.98,18.62,2.21,1.22,7.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC,13.14553793732408,21.113921983641852
OKE,ONEOK,Energy,21.37,11.5,14.3,1.49,1.98,18.84,51.53,4.47,1.4,0.52,10.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE,6.7192149203726705,-27.14075535207385
ORCL,Oracle Corp.,Information Technology,37.29,1.62,17.98,2.07,10.91,33.13,45.24,156.66,15.21,4.11,3.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL,18.43616399621369,24.646134452472683
OI,Owens-Illinois Inc,Materials,15.08,,,-0.47,2.89,11.58,26.41,2.43,0.982,0.4,5.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OI,4.170051327110369,-17.44832300049104
PCAR,PACCAR Inc.,Industrials,51.82,1.84,11.49,4.51,19.76,43.46,68.44,18.21,2.77,0.94,2.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCAR,20.163769965526825,-6.044020247591197
PH,Parker-Hannifin,Industrials,101.63,2.45,16.81,6.05,35.52,83.32,125.94,13.73,1.68,1.15,2.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PH,21.72601185231929,-11.26455558874228
PDCO,Patterson Companies,Health Care,45.09,1.94,24.33,1.85,13.84,38.51,53.07,4.44,0.46429,0.89,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PDCO,1.3864002890058271,21.160008564614674
PAYX,Paychex Inc.,Information Technology,52.14,3.24,25.95,2.01,5.15,41.59,54.78,18.82,1.22,6.56,10.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PAYX,12.456234877244034,23.83778317103738
PYPL,PayPal,Information Technology,36.74,,36.74,1.0,11.24,30.0,42.55,44.92,1.95,4.82,3.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PYPL,-4.2687561565674566,2.293306478790996
PNR,Pentair Ltd.,Industrials,47.9,2.69,18.65,2.57,25.23,41.57,69.65,8.65,0.9928,1.34,1.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNR,21.09119771482207,-8.834950782258606
PBCT,People's United Financial,Financials,14.78,4.51,17.19,0.86,15.62,13.62,16.95,4.48,0.0,3.52,0.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBCT,34.93616204310389,13.625760143817836
POM,Pepco Holdings Inc.,Utilities,26.52,4.07,20.64,1.28,17.35,21.61,27.34,6.75,1.29,1.34,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=POM,-30.56185662295004,-22.973699678118674
PEP,PepsiCo Inc.,Consumer Staples,100.67,2.81,27.42,3.67,8.33,76.48,103.44,145.51,12.25,2.28,11.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEP,-4.825885679052108,-3.8212395479621972
