,x,y
BBBY,2.9076651797246758,-13.102724375774914
BBY,-18.092198893065305,-20.22120275102907
BIIB,-2.5388215687905116,14.600197891417825
BLK,25.295876699899686,17.215652787313978
HRB,-21.041701033995768,-17.797458300930217
BA,10.097050713635591,-2.0896732238888136
BWA,16.475101204427837,11.291100712178054
BXP,1.9003942108649892,30.38970950783907
BSX,-6.375525897503684,18.584070406858125
BMY,-4.211444377917446,16.544953614517418
CHRW,-8.048319477861147,-22.207460705453578
CA,17.007638166173955,-0.5271448573737836
CVC,-15.420655168066526,-13.112758816135107
COG,0.24249365154839506,-30.1106519983524
CAM,16.870000138727324,-20.59134814609892
CPB,-26.017235423046337,-4.793614142227251
COF,30.48099015681732,13.793678756964391
CAH,-2.700005150885661,16.658354751970013
KMX,4.455660397906953,-11.635077494247522
CCL,-4.548290211549629,7.1532960586324075
CAT,19.94865838525948,-14.114313788756357
CBG,19.697561987180933,15.29306600848468
CBS,20.65273143380831,2.7121388386765504
CELG,-4.3421907706713805,13.292034820993775
CNP,-36.550479513395416,-7.606590777134683
CTL,-8.416836934855919,-18.242566776572733
CERN,-12.36835452787373,3.3252865343458873
CF,-0.3257010001710933,-27.140599117759567
SCHW,26.308312250587054,14.788600042577103
CHK,0.5938045315776028,-27.83207888993882
CVX,14.365561856826243,-21.413662287580813
CMG,-25.76364517381682,-22.805136889990138
CB,-10.542276163705617,-5.967549297946902
CHD,-6.907344200409032,-3.400331901840728
CI,-14.906710586588941,2.483249497901599
XEC,10.423575979971575,-28.178562194123394
CINF,15.5397522481839,3.4661019019913284
CTAS,11.359095720911695,21.532922523243077
CSCO,6.6895184204426625,10.394537785818379
C,27.79062875273072,16.898960644264548
CFG,3.961209760816945,-0.9178704021248799
CTXS,-4.402497591485272,2.987600576675114
CME,-29.258786765320945,-5.002365067558913
CMS,-38.04281288411103,-14.786713049368718
COH,-9.882290763010168,-8.418556710187557
CCE,-7.551901692367386,-4.45145322874127
CTSH,9.997181515612887,23.56063147300817
CL,12.817138934139088,4.426557102599532
