i	j	val
1	56	0.342105263158
1	57	0.631578947368
1	58	0.618421052632
1	59	0.118421052632
1	60	0.855263157895
1	61	0.842105263158
1	62	0.789473684211
1	63	0.815789473684
1	64	0.815789473684
1	65	0.802631578947
1	66	0.75
1	67	0.671052631579
1	68	0.592105263158
1	69	0.842105263158
1	70	0.75
1	71	0.118421052632
1	72	0.131578947368
1	73	0.578947368421
1	74	0.263157894737
1	75	0.894736842105
1	76	0.894736842105
1	77	0.144736842105
1	78	0.289473684211
1	79	0.118421052632
1	80	0.197368421053
1	81	0.184210526316
1	82	0.118421052632
1	83	0.868421052632
1	84	0.118421052632
1	85	0.118421052632
1	86	0.118421052632
1	87	0.789473684211
1	88	0.828947368421
1	89	0.894736842105
1	90	0.828947368421
1	91	0.894736842105
1	92	0.776315789474
1	93	0.881578947368
1	94	0.934210526316
1	95	0.131578947368
1	96	0.868421052632
1	97	0.894736842105
1	98	0.802631578947
1	99	0.868421052632
2	0	0.144736842105
2	1	0.947368421053
2	2	1.0
2	3	0.802631578947
2	4	0.907894736842
2	5	0.131578947368
2	6	0.828947368421
2	7	0.828947368421
2	8	0.131578947368
2	9	0.947368421053
2	10	0.184210526316
2	11	0.118421052632
2	12	0.171052631579
2	13	0.881578947368
2	14	0.184210526316
2	15	0.565789473684
2	16	0.144736842105
2	17	0.815789473684
2	18	0.157894736842
2	19	0.894736842105
2	20	0.868421052632
2	21	0.868421052632
2	22	0.144736842105
2	23	0.171052631579
2	24	0.25
2	25	0.210526315789
2	26	0.144736842105
2	27	0.907894736842
2	28	0.75
2	29	0.815789473684
2	30	0.75
2	31	0.763157894737
2	32	0.828947368421
2	33	0.828947368421
2	34	0.855263157895
2	35	0.144736842105
2	36	0.144736842105
2	37	0.144736842105
2	38	0.184210526316
2	39	0.802631578947
2	40	0.184210526316
2	41	0.289473684211
2	42	0.157894736842
2	43	0.236842105263
2	44	0.157894736842
2	45	0.907894736842
2	46	0.907894736842
2	47	0.131578947368
2	48	0.868421052632
2	49	0.144736842105
2	50	0.157894736842
2	51	0.276315789474
2	52	0.236842105263
2	53	0.144736842105
2	54	0.144736842105
2	55	0.171052631579
2	56	0.355263157895
2	57	0.657894736842
2	58	0.644736842105
2	59	0.144736842105
2	60	0.881578947368
2	61	0.842105263158
2	62	0.815789473684
2	63	0.842105263158
2	64	0.815789473684
2	65	0.802631578947
2	66	0.736842105263
2	67	0.684210526316
2	68	0.592105263158
2	69	0.828947368421
2	70	0.763157894737
2	71	0.131578947368
2	72	0.157894736842
2	73	0.578947368421
2	74	0.289473684211
2	75	0.907894736842
2	76	0.894736842105
2	77	0.157894736842
2	78	0.315789473684
2	79	0.144736842105
2	80	0.223684210526
2	81	0.210526315789
2	82	0.144736842105
2	83	0.868421052632
2	84	0.144736842105
2	85	0.144736842105
2	86	0.131578947368
2	87	0.815789473684
2	88	0.842105263158
2	89	0.881578947368
2	90	0.842105263158
2	91	0.907894736842
2	92	0.802631578947
2	93	0.881578947368
2	94	0.934210526316
2	95	0.144736842105
2	96	0.881578947368
2	97	0.881578947368
2	98	0.828947368421
2	99	0.881578947368
3	0	0.0547945205479
3	1	0.835616438356
3	2	0.835616438356
3	3	1.0
3	4	0.821917808219
3	5	0.0547945205479
3	6	0.917808219178
3	7	0.780821917808
3	8	0.0547945205479
3	9	0.890410958904
3	10	0.0684931506849
3	11	0.0547945205479
3	12	0.0547945205479
3	13	0.917808219178
3	14	0.0821917808219
3	15	0.520547945205
3	16	0.0547945205479
3	17	0.835616438356
3	18	0.0547945205479
3	19	0.917808219178
